"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"TP49","TESTPOINT2","2.9766mm","-9.605mm","2.9766mm","-9.605mm","2.9766mm","-9.605mm","B","90.00","Test Point"
"TP48","TESTPOINT2","67.693mm","-9.481mm","67.693mm","-9.481mm","67.693mm","-9.481mm","B","90.00","Test Point"
"TP47","TESTPOINT2","74.295mm","-11.002mm","74.295mm","-11.002mm","74.295mm","-11.002mm","B","90.00","Test Point"
"TP45","TESTPOINT2","57.785mm","-23.194mm","57.785mm","-23.194mm","57.785mm","-23.194mm","B","90.00","Test Point"
"TP43","TESTPOINT2","56.0784mm","-11.764mm","56.0784mm","-11.764mm","56.0784mm","-11.764mm","B","90.00","Test Point"
"TP42","TESTPOINT2","71.247mm","-1.223mm","71.247mm","-1.223mm","71.247mm","-1.223mm","B","90.00","Test Point"
"TP41","TESTPOINT2","55.3125mm","-2.9335mm","55.3125mm","-2.9335mm","55.3125mm","-2.9335mm","B","90.00","Test Point"
"TP40","TESTPOINT2","11.557mm","-45.038mm","11.557mm","-45.038mm","11.557mm","-45.038mm","B","90.00","Test Point"
"TP39","TESTPOINT2","57.658mm","-4.017mm","57.658mm","-4.017mm","57.658mm","-4.017mm","B","90.00","Test Point"
"TP38","TESTPOINT2","10.795mm","-5.16mm","10.795mm","-5.16mm","10.795mm","-5.16mm","B","90.00","Test Point"
"TP37","TESTPOINT2","78.74mm","-14.685mm","78.74mm","-14.685mm","78.74mm","-14.685mm","B","90.00","Test Point"
"TP36","TESTPOINT2","84.709mm","-7.827mm","84.709mm","-7.827mm","84.709mm","-7.827mm","B","90.00","Test Point"
"TP35","TESTPOINT2","54.388mm","-41.45mm","54.388mm","-41.45mm","54.388mm","-41.45mm","B","90.00","Test Point"
"TP34","TESTPOINT1","71.755mm","-44.657mm","71.755mm","-44.657mm","71.755mm","-44.657mm","B","90.00","Test Point"
"TP33","TESTPOINT1","43.053mm","-43.768mm","43.053mm","-43.768mm","43.053mm","-43.768mm","B","90.00","Test Point"
"TP32","TESTPOINT1","73.406mm","-32.719mm","73.406mm","-32.719mm","73.406mm","-32.719mm","B","90.00","Test Point"
"TP31","TESTPOINT1","37.084mm","-43.768mm","37.084mm","-43.768mm","37.084mm","-43.768mm","B","90.00","Test Point"
"TP30","TESTPOINT1","39.243mm","-43.768mm","39.243mm","-43.768mm","39.243mm","-43.768mm","B","90.00","Test Point"
"TP29","TESTPOINT1","59.436mm","-45.546mm","59.436mm","-45.546mm","59.436mm","-45.546mm","B","90.00","Test Point"
"TP28","TESTPOINT2","79.756mm","-11.002mm","79.756mm","-11.002mm","79.756mm","-11.002mm","B","90.00","Test Point"
"TP23","TESTPOINT2","39.624mm","-34.624mm","39.624mm","-34.624mm","39.624mm","-34.624mm","B","90.00","Test Point"
"TP22","TESTPOINT2","30.734mm","-29.036mm","30.734mm","-29.036mm","30.734mm","-29.036mm","B","90.00","Test Point"
"TP21","TESTPOINT2","80.899mm","-7.827mm","80.899mm","-7.827mm","80.899mm","-7.827mm","B","90.00","Test Point"
"TP20","TESTPOINT2","77.597mm","-5.414mm","77.597mm","-5.414mm","77.597mm","-5.414mm","B","90.00","Test Point"
"TP19","TESTPOINT2","69.85mm","-42.625mm","69.85mm","-42.625mm","69.85mm","-42.625mm","B","90.00","Test Point"
"TP18","TESTPOINT2","55.88mm","-7.827mm","55.88mm","-7.827mm","55.88mm","-7.827mm","B","90.00","Test Point"
"TP16","TESTPOINT2","51.562mm","-23.067mm","51.562mm","-23.067mm","51.562mm","-23.067mm","B","90.00","Test Point"
"TP15","TESTPOINT2","43.434mm","-24.591mm","43.434mm","-24.591mm","43.434mm","-24.591mm","B","90.00","Test Point"
"TP13","TESTPOINT2","68.58mm","-17.6682mm","68.58mm","-17.6682mm","68.58mm","-17.6682mm","B","90.00","Test Point"
"TP12","TESTPOINT2","41.91mm","-21.924mm","41.91mm","-21.924mm","41.91mm","-21.924mm","B","90.00","Test Point"
"TP5","TESTPOINT2","65.786mm","-43.514mm","65.786mm","-43.514mm","65.786mm","-43.514mm","B","90.00","Test Point"
"TP4","TESTPOINT2","67.786mm","-44.657mm","67.786mm","-44.657mm","67.786mm","-44.657mm","B","90.00","Test Point"
"TP3","TESTPOINT2","64.389mm","-30.687mm","64.389mm","-30.687mm","64.389mm","-30.687mm","B","90.00","Test Point"
"TP1","TESTPOINT2","83.185mm","-30.179mm","83.185mm","-30.179mm","83.185mm","-30.179mm","B","180.00","Test Point"
