"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R2","R_0402","21.454mm","6.8068mm","21.454mm","6.8068mm","21.454mm","7.3068mm","T","270.00","0R"
"R19","R_0402","60.882mm","45.614mm","60.882mm","45.614mm","60.882mm","46.114mm","T","270.00","200K-1%"
"R18","R_0402","22.6436mm","41.4782mm","22.6436mm","41.4782mm","22.6436mm","40.9782mm","T","90.00","442K-1%"
"R17","R_0402","24.3708mm","41.4782mm","24.3708mm","41.4782mm","24.3708mm","41.9782mm","T","270.00","100K-1%"
"R158","R_0402","16.9798mm","45.2308mm","16.9798mm","45.2308mm","16.4798mm","45.2308mm","T","360.00","0R"
"R157","R_0402","16.9798mm","44.3418mm","16.9798mm","44.3418mm","16.4798mm","44.3418mm","T","360.00","0R"
"R156","R_0402","83.1342mm","16.9162mm","83.1342mm","16.9162mm","83.1342mm","16.4162mm","B","90.00","0R-1%"
"R155","R_0402","82.1182mm","20.7008mm","82.1182mm","20.7008mm","82.6182mm","20.7008mm","B","180.00","12K-1%"
"R151","R_0402","72.439mm","37.549mm","72.439mm","37.549mm","72.939mm","37.549mm","T","180.00","0R"
"R15","R_0402","61.136mm","38.311mm","61.136mm","38.311mm","61.636mm","38.311mm","T","180.00","1R"
"R14","R_0402","61.136mm","37.422mm","61.136mm","37.422mm","60.636mm","37.422mm","T","360.00","1R"
"R131","R_0402","66.597mm","19.8332mm","66.597mm","19.8332mm","66.597mm","19.3332mm","B","90.00","10K"
"R130","R_0402","78.9812mm","44.852mm","78.9812mm","44.852mm","78.4812mm","44.852mm","B","360.00","10K"
"R13","R_0402","7.1246mm","35.79mm","7.1246mm","35.79mm","7.1246mm","36.29mm","B","270.00","150K-1%"
"R129","R_0402","78.9812mm","43.942mm","78.9812mm","43.942mm","78.4812mm","43.942mm","B","360.00","10K"
"R12","R_0402","6.2356mm","35.79mm","6.2356mm","35.79mm","6.2356mm","35.29mm","B","90.00","100K-1%"
"R1","R_0402","18.3136mm","7.4859mm","18.3136mm","7.4859mm","18.3136mm","6.9859mm","T","90.00","200K-1%"
"L5","CD32","31.0768mm","44.7736mm","31.0768mm","44.7736mm","31.0768mm","46.2236mm","T","270.00","2.2uH-DCR<0.1R-1.5A/ELL4LG2R2NA"
"L3","CD32","10.4012mm","43.6052mm","10.4012mm","43.6052mm","11.8512mm","43.6052mm","B","180.00","2.2uH-DCR<0.1R-1.5A/ELL4LG2R2NA"
